-------------------------------------------------------------------------------------------------------------------
                                                             |                      Nationality                    
                                                             |  Danish   Dutch   English   French   Spanish   Total
-------------------------------------------------------------+-----------------------------------------------------
Period                                                       |                                                     
  pre-1750                                                   |              11        14                         25
  1751-1775                                                  |              71       147       27               245
  1776-1800                                                  |       5      19        47       22                93
  post-1800                                                  |                         6        1        17      24
  Total                                                      |       5     101       214       50        17     387
African region of trade                                      |                                                     
  Bight of Guinea                                            |       5      16       128       19         2     170
  South                                                      |              28        20       13         1      62
  West                                                       |              53        39        1         1      94
  Total                                                      |       5      97       187       33         4     326
Fate of venture (4 outcomes)                                 |                                                     
  Voyage completed as intended                               |              97       181       37         6     321
  Original goal thwarted before disembarking enslaved people |                        12        2                14
  Original goal thwarted after disembarking enslaved people  |               4         7        1         1      13
  Unknown                                                    |       5                14       10        10      39
  Total                                                      |       5     101       214       50        17     387
-------------------------------------------------------------------------------------------------------------------
