------------------------------------------------------------------------------------------------------------------
                                                          |                       Nationality                     
                                                          |  Danish    Dutch   English   French   Spanish    Total
----------------------------------------------------------+-------------------------------------------------------
Imputed number of enslaved people embarked                |                                                       
  Mean                                                    |     420      272       262      360       496      289
  Median                                                  |     429      261       248      349       505      271
  Standard deviation                                      |      69       73       121      133       136      125
  Minimum value                                           |     304       46         0      129       235        0
  Maximum value                                           |     475      479       980      691       739      980
  Number of nonmissing values                             |       5      101       203       41        17      367
Enslaved people mortality rate                            |                                                       
  Mean                                                    |    0.16     0.08      0.14     0.17      0.13     0.13
  Median                                                  |    0.14     0.05      0.13     0.14      0.12     0.12
  Standard deviation                                      |    0.13     0.09      0.06     0.16      0.03     0.09
  Minimum value                                           |    0.00     0.00      0.00     0.00      0.06     0.00
  Maximum value                                           |    0.34     0.57      0.44     1.00      0.18     1.00
  Number of nonmissing values                             |       5      101       200       41        17      364
Total net expenditure in g. of silver per enslaved person |                                                       
  Mean                                                    |   1,836    3,011     2,491    3,159     3,602    2,753
  Median                                                  |   2,035    2,707     2,236    2,713     3,610    2,464
  Standard deviation                                      |     439    1,507     1,159    1,851     1,037    1,382
  Minimum value                                           |   1,179    1,381       456      878     1,644      456
  Maximum value                                           |   2,253   13,725     9,132   12,368     6,070   13,725
  Number of nonmissing values                             |       5      101       200       41        17      364
Enslaved people price markup between America and Africa   |                                                       
  Mean                                                    |    3.31     3.90      3.55     3.16         .     3.59
  Median                                                  |    1.89     3.60      3.43     3.08               3.41
  Standard deviation                                      |    2.20     1.29      0.91     0.48         .     1.03
  Minimum value                                           |    1.89     1.89      1.89     2.30         .     1.89
  Maximum value                                           |    6.91     7.36      7.12     4.60         .     7.36
  Number of nonmissing values                             |       5      101       214       49         0      369
------------------------------------------------------------------------------------------------------------------
