------------------------------------------------------------------------------------------------
                                                               |              sample            
                                                               |  TSTD (restricted)   Our sample
---------------------------------------------------------------+--------------------------------
Imputed principal place of captive purchase                    |                                
  Accra                                                        |                 17            0
                                                               |               0.00         0.00
  Africa, port unspecified                                     |                977            6
                                                               |               0.12         0.02
  Albreda                                                      |                  2            0
                                                               |               0.00         0.00
  Ambriz                                                       |                 35            2
                                                               |               0.00         0.01
  Andony                                                       |                  1            0
                                                               |               0.00         0.00
  Anomabu                                                      |                329            2
                                                               |               0.04         0.01
  Apammin                                                      |                  2            1
                                                               |               0.00         0.00
  Apollonia                                                    |                  1            0
                                                               |               0.00         0.00
  Ardra                                                        |                  6            2
                                                               |               0.00         0.01
  Axim                                                         |                  2            1
                                                               |               0.00         0.00
  Badagry/Apa                                                  |                 51            3
                                                               |               0.01         0.01
  Banana Islands                                               |                 25            3
                                                               |               0.00         0.01
  Bance/Bunce Island                                           |                 42            0
                                                               |               0.01         0.00
  Bassa                                                        |                 90            3
                                                               |               0.01         0.01
  Benguela                                                     |                  1            0
                                                               |               0.00         0.00
  Benin                                                        |                 97            5
                                                               |               0.01         0.01
  Bight of Benin, place unspecified                            |                 64            4
                                                               |               0.01         0.01
  Bight of Biafra and Gulf of Guinea Islands, port unspecified |                123            5
                                                               |               0.01         0.01
  Bights                                                       |                  1            0
                                                               |               0.00         0.00
  Bilbay                                                       |                  1            0
                                                               |               0.00         0.00
  Bimbia                                                       |                  6            0
                                                               |               0.00         0.00
  Bissagos                                                     |                  2            0
                                                               |               0.00         0.00
  Bissau                                                       |                  5            0
                                                               |               0.00         0.00
  Boary                                                        |                  6            2
                                                               |               0.00         0.01
  Bonny                                                        |                655           17
                                                               |               0.08         0.05
  Bundy                                                        |                  1            0
                                                               |               0.00         0.00
  CC Castle and Windward                                       |                  1            1
                                                               |               0.00         0.00
  Cabinda                                                      |                119            3
                                                               |               0.01         0.01
  Cacheu                                                       |                  7            0
                                                               |               0.00         0.00
  Calabar                                                      |                427           63
                                                               |               0.05         0.17
  Cameroons                                                    |                 95           32
                                                               |               0.01         0.09
  Cameroons River                                              |                  9            6
                                                               |               0.00         0.02
  Cap Lopez                                                    |                 10            1
                                                               |               0.00         0.00
  Cape Coast Castle                                            |                161            0
                                                               |               0.02         0.00
  Cape Lahou                                                   |                 77           39
                                                               |               0.01         0.10
  Cape Mount (Cape Grand Mount)                                |                120            1
                                                               |               0.01         0.00
  Casamance                                                    |                  3            0
                                                               |               0.00         0.00
  Casnasonis (location undetermined)                           |                  1            0
                                                               |               0.00         0.00
  Cess                                                         |                  1            0
