------------------------------------------------------------------------------
                                             |              sample            
                                             |  TSTD (restricted)   Our sample
---------------------------------------------+--------------------------------
Imputed Principal region of captive purchase |                                
  Bight of Benin                             |                386           31
                                             |               0.10         0.12
  Bight of Biafra and Gulf of Guinea islands |              1,174           94
                                             |               0.31         0.37
  East Africa and Indian Ocean islands       |                  4            0
                                             |               0.00         0.00
  Gold Coast                                 |                511           11
                                             |               0.13         0.04
  Senegambia and offshore Atlantic           |                271           14
                                             |               0.07         0.05
  Sierra Leone                               |                286           10
                                             |               0.07         0.04
  West Central Africa and St Helena          |                748           44
                                             |               0.19         0.17
  Windward Coast                             |                464           51
                                             |               0.12         0.20
------------------------------------------------------------------------------
