-------------------------------------------------------------------------
Enslaved persons emparked (ln)                            |    0.14***   
                                                          |  [0.05,0.22] 
Enslaved people mortality rate                            |    -1.19***  
                                                          | [-1.55,-0.83]
Total net expenditure in kg of silver per enslaved person |    -0.04***  
                                                          | [-0.07,-0.01]
Enslaved people price markup between America and Africa   |     -0.02    
                                                          |  [-0.05,0.02]
Length of the voyage (ln)                                 |    -0.22***  
                                                          | [-0.34,-0.11]
Fate of venture (binary)                                  |              
  Voyage completed as intended                            |      0.00    
Intercept                                                 |     0.99**   
                                                          |  [0.13,1.84] 
Number of observations                                    |      284     
R-squared                                                 |      0.23    
Adjusted R-squared                                        |      0.21    
-------------------------------------------------------------------------
