-------------------------------------------------------------------------
Enslaved persons emparked (ln)                            |    0.14***   
                                                          |  [0.05,0.23] 
Enslaved people mortality rate                            |    -1.16***  
                                                          | [-1.52,-0.80]
Total net expenditure in kg of silver per enslaved person |    -0.04**   
                                                          | [-0.08,-0.00]
Enslaved people price markup between America and Africa   |     -0.02    
                                                          |  [-0.06,0.03]
Length of the voyage (ln)                                 |    -0.22***  
                                                          | [-0.34,-0.10]
Fate of venture (binary)                                  |              
  Voyage completed as intended                            |      0.00    
Intercept                                                 |     1.00**   
                                                          |  [0.13,1.86] 
Number of observations                                    |      254     
R-squared                                                 |      0.23    
Adjusted R-squared                                        |      0.22    
-------------------------------------------------------------------------
